ip,country,port,org,isp,hostnames,timestamp,product,version,vulns
91.239.233.145,Ukraine,143,HOSTPRO LAB LLC,HOSTPRO LAB LLC,['server0497.server-vps.com'],2026-03-31 18:01:48.925508,,,
185.20.216.180,Ukraine,53,Protelecom LLC,Protelecom LLC,[],2026-03-31 18:01:48.526912,,,
62.80.176.12,Ukraine,3189,subnet for dsl customers Inter-Telecom,"""Inter-Telecom"" LLC",['ip-62-80-176-12.cyfra.net'],2026-03-31 18:01:48.219326,,,
109.122.4.169,Ukraine,80,VIRTUAL TELECOM LLC,BREEZE NETWORK,[],2026-03-31 18:01:47.026441,,,
91.203.61.37,Ukraine,81,Ukrchermetavtomatika LLC,Ukrchermetavtomatika LLC,['37.61.dts.net.ua'],2026-03-31 18:01:41.762597,Hikvision IP Camera,,
212.1.108.8,Ukraine,135,Infocom's partner in Zhitomir,"Joint Ukrainan-German Enterprise ""INFOCOM"" LLC",['a8.zt.ukrpack.net'],2026-03-31 18:01:41.549045,Microsoft RPC Endpoint Mapper,,
94.240.172.97,Ukraine,2000,TOV Flagman Telecom,The private businessman Buryanov Konstantin Volodimirovich,[],2026-03-31 18:01:40.607378,MikroTik bandwidth-test server,,
195.230.134.136,Ukraine,80,ISP Routec,"Joint Ukrainan-German Enterprise ""INFOCOM"" LLC",['mail.bus.ck.ua'],2026-03-31 18:01:37.727977,Apache httpd,,
194.28.84.85,Ukraine,21,HOSTPRO LAB LLC,HOSTPRO LAB LLC,"['skm340.hostsila.org', 'synset.com.ua']",2026-03-31 18:01:36.814502,Pure-FTPd,,
91.203.89.178,Ukraine,8291,AS6723 LIMITED LIABILITY COMPANY,"""AS6723"" LIMITED LIABILITY COMPANY",['user-91-203-89-178.skif.com.ua'],2026-03-31 18:01:35.747192,MikroTik Winbox,,
91.240.96.153,Ukraine,2000,Global City Net,"Luch, LLC",[],2026-03-31 18:01:35.249652,MikroTik bandwidth-test server,,
178.23.191.7,Ukraine,1723,Paldor Networks BV,EVEREST TV AND RADIO COMPANY LLC,[],2026-03-31 18:01:35.181174,PPTP,,
146.120.161.60,Ukraine,161,Dianet Ltd.,Dianet Ltd.,[],2026-03-31 18:01:33.915218,MikroTik,,
147.78.116.76,Ukraine,443,United Networks of Ukraine Ltd,TSOD Ltd.,['e-docs.mistoboyarka.gov.ua'],2026-03-31 18:01:32.464186,Microsoft IIS httpd,10.0,
45.94.158.120,Ukraine,8830,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:01:31.482227,,,
185.157.77.53,Ukraine,465,Zemlyaniy Dmitro Leonidovich,Zemlyaniy Dmitro Leonidovich,"['hipoteki.pl', 'd261.deltahost.com.ua']",2026-03-31 18:01:30.178076,Postfix smtpd,,
176.103.54.105,Ukraine,445,Ivanov Vitaliy Sergeevich,Ivanov Vitaliy Sergeevich,[],2026-03-31 18:01:29.344421,,,
62.244.29.183,Ukraine,9080,Lucky Net Ltd,Lucky Net Ltd,['lamed.lequuowsite.com'],2026-03-31 18:01:27.932973,,,
62.182.83.53,Ukraine,53,Virtual Systems LLC,Virtual Systems LLC,['a37.jonaskle.com'],2026-03-31 18:01:27.662929,,,
37.25.127.215,Ukraine,53,WildPark Co,WildPark Co,['ppp-37-25-127-215.wildpark.net'],2026-03-31 18:01:26.242255,,,
178.95.76.8,Ukraine,8080,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:01:25.660698,,,
5.58.254.224,Ukraine,8888,"MAXNET TELECOM, LTD","MAXNET TELECOM, LTD",['host-5-58-254-224.bitternet.ua'],2026-03-31 18:01:24.677436,,,
37.54.30.37,Ukraine,7547,JSC Ukrtelecom,"JSC ""Ukrtelecom""",['37-30-54-37.pool.ukrtel.net'],2026-03-31 18:01:22.013516,,,
62.244.34.108,Ukraine,23424,Lucky Net Ltd,Lucky Net Ltd,[],2026-03-31 18:01:21.549858,,,
31.43.51.13,Ukraine,80,Ukrainian Telecommunication Group LLC,Ukrainian Telecommunication Group LLC,[],2026-03-31 18:01:20.571870,Boa Web Server,$1,
62.149.16.38,Ukraine,902,1 Cloud Lab UA-62-16,Colocall,['esxi1.vm.spec-info.com'],2026-03-31 18:01:20.532348,VMware Authentication Daemon,1.10,
194.44.106.42,Ukraine,5001,UARNet Lutsk,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and Research Network"" of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)",['ukrop4ik.direct.quickconnect.to'],2026-03-31 18:01:20.370243,nginx,,
91.223.180.131,Ukraine,110,TheHost LLC,TheHost LLC,['market.vents.ua'],2026-03-31 18:01:18.511549,,,
46.219.34.85,Ukraine,7547,o3_core,Freenet LTD,[],2026-03-31 18:01:18.289596,,,
